# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOCC_SEX_CHROMOSOME                      SET      28    0.0014799   5.6364e-05      0.16915      0.49651 GOCC_SEX_CHROMOSOME
GOCC_SHELTERIN_COMPLEX                   SET       6       0.1271    0.0022422      0.32229      0.34665 GOCC_SHELTERIN_COMPLEX
GOCC_SIDE_OF_MEMBRANE                    SET     523     0.057938    0.0094136     0.036392     0.055696 GOCC_SIDE_OF_MEMBRANE
GOCC_SIGNAL_PEPTIDASE_COMPLEX            SET       5      -0.3329   -0.0053612       0.3111       0.8577 GOCC_SIGNAL_PEPTIDASE_COMPLEX
GOCC_SIGNAL_RECOGNITION_PART...          SET       6     0.071595     0.001263      0.29277      0.40341 GOCC_SIGNAL_RECOGNITION_PARTICLE
GOCC_SIN3_TYPE_COMPLEX                   SET      20     -0.13771   -0.0044337      0.17708      0.78161 GOCC_SIN3_TYPE_COMPLEX
GOCC_SITE_OF_DNA_DAMAGE                  SET     107     0.080711     0.005997     0.074099      0.13803 GOCC_SITE_OF_DNA_DAMAGE
GOCC_SITE_OF_DOUBLE_STRAND_B...          SET      76     0.022217    0.0013924     0.087374      0.39964 GOCC_SITE_OF_DOUBLE_STRAND_BREAK
GOCC_SITE_OF_POLARIZED_GROWTH            SET     158    0.0020772    0.0001873     0.064305      0.48712 GOCC_SITE_OF_POLARIZED_GROWTH
GOCC_SMAD_PROTEIN_COMPLEX                SET       9      0.43401    0.0093763      0.31458     0.083859 GOCC_SMAD_PROTEIN_COMPLEX
GOCC_SMALL_RIBOSOMAL_SUBUNIT             SET      69     0.043882    0.0026209     0.093961      0.32024 GOCC_SMALL_RIBOSOMAL_SUBUNIT
GOCC_SMALL_SUBUNIT_PROCESSOME            SET      36   -0.0047063  -0.00020321      0.11812      0.51589 GOCC_SMALL_SUBUNIT_PROCESSOME
GOCC_SMC5_SMC6_COMPLEX                   SET       9     -0.21383   -0.0046197      0.29348      0.76688 GOCC_SMC5_SMC6_COMPLEX
GOCC_SMN_COMPLEX                         SET       9      -0.1118   -0.0024153      0.25819       0.6675 GOCC_SMN_COMPLEX
GOCC_SMN_SM_PROTEIN_COMPLEX              SET      16      -0.2041   -0.0058781      0.18393      0.86642 GOCC_SMN_SM_PROTEIN_COMPLEX
GOCC_SMOOTH_ENDOPLASMIC_RETI...1         SET      30     -0.14773   -0.0058239      0.13753      0.85862 GOCC_SMOOTH_ENDOPLASMIC_RETICULUM
GOCC_SMOOTH_ENDOPLASMIC_RETI...2         SET       7     0.096189    0.0018328      0.28953      0.36986 GOCC_SMOOTH_ENDOPLASMIC_RETICULUM_MEMBRANE
GOCC_SM_LIKE_PROTEIN_FAMILY_...          SET      81    -0.036118   -0.0023365     0.082777       0.6687 GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX
GOCC_SNARE_COMPLEX                       SET      45    -0.017136  -0.00082703       0.1177      0.55788 GOCC_SNARE_COMPLEX
GOCC_SNO_S_RNA_CONTAINING_RI...          SET      23     0.049514    0.0017094      0.16782      0.38398 GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX
GOCC_SODIUM_CHANNEL_COMPLEX              SET      19    0.0058889    0.0001848       0.1879       0.4875 GOCC_SODIUM_CHANNEL_COMPLEX
GOCC_SODIUM_POTASSIUM_EXCHAN...          SET      11      0.12787     0.003054      0.24258      0.29905 GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX
GOCC_SOMATODENDRITIC_COMPART...          SET     792     0.021061    0.0041808     0.028437      0.22946 GOCC_SOMATODENDRITIC_COMPARTMENT
GOCC_SORTING_ENDOSOME                    SET       6       1.1617     0.020494      0.35731   0.00057545 GOCC_SORTING_ENDOSOME
GOCC_SPECIFIC_GRANULE                    SET     148     0.017764    0.0015506     0.060888      0.38524 GOCC_SPECIFIC_GRANULE
GOCC_SPECIFIC_GRANULE_LUMEN              SET      58    -0.028389   -0.0015549     0.092846       0.6201 GOCC_SPECIFIC_GRANULE_LUMEN
GOCC_SPECIFIC_GRANULE_MEMBRA...          SET      83     0.032319    0.0021163      0.08339      0.34917 GOCC_SPECIFIC_GRANULE_MEMBRANE
GOCC_SPECTRIN                            SET       9      0.17256    0.0037281      0.25932      0.25288 GOCC_SPECTRIN
GOCC_SPECTRIN_ASSOCIATED_CYT...          SET       9      -0.4691    -0.010135      0.26001      0.96439 GOCC_SPECTRIN_ASSOCIATED_CYTOSKELETON
GOCC_SPERMATOPROTEASOME_COMP...          SET       5      0.56396    0.0090822      0.48224      0.12112 GOCC_SPERMATOPROTEASOME_COMPLEX
GOCC_SPERM_ANNULUS                       SET       4      0.31339    0.0045142      0.35471      0.18849 GOCC_SPERM_ANNULUS
GOCC_SPERM_CONNECTING_PIECE              SET       9    -0.016761  -0.00036209      0.22453      0.52975 GOCC_SPERM_CONNECTING_PIECE
GOCC_SPERM_FIBROUS_SHEATH                SET       6     -0.58333     -0.01029      0.31783      0.96677 GOCC_SPERM_FIBROUS_SHEATH
GOCC_SPERM_HEAD                          SET      16     -0.32944   -0.0094878      0.19242      0.95655 GOCC_SPERM_HEAD
GOCC_SPERM_HEAD_PLASMA_MEMBR...          SET       6     -0.36115    -0.006371      0.29881      0.88658 GOCC_SPERM_HEAD_PLASMA_MEMBRANE
GOCC_SPERM_MIDPIECE                      SET      48       -0.152   -0.0075759      0.10596      0.92427 GOCC_SPERM_MIDPIECE
GOCC_SPERM_MITOCHONDRIAL_SHE...          SET       5     -0.72725    -0.011712      0.37639      0.97332 GOCC_SPERM_MITOCHONDRIAL_SHEATH
GOCC_SPERM_PLASMA_MEMBRANE               SET      13     -0.12747   -0.0033094      0.21162      0.72652 GOCC_SPERM_PLASMA_MEMBRANE
GOCC_SPERM_PRINCIPAL_PIECE               SET      30    -0.088752   -0.0034988      0.14082      0.73573 GOCC_SPERM_PRINCIPAL_PIECE
GOCC_SPHERICAL_HIGH_DENSITY_...          SET       8   -0.0086007  -0.00017519       0.3059      0.51122 GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE
GOCC_SPINDLE                             SET     397   -0.0082184   -0.0011673     0.038558      0.58439 GOCC_SPINDLE
GOCC_SPINDLE_MICROTUBULE                 SET      76    -0.015844  -0.00099297     0.082395      0.57624 GOCC_SPINDLE_MICROTUBULE
GOCC_SPINDLE_MIDZONE                     SET      36     -0.13623   -0.0058819      0.11805      0.87573 GOCC_SPINDLE_MIDZONE
GOCC_SPINDLE_POLE                        SET     161    0.0050672   0.00046118     0.060431      0.46659 GOCC_SPINDLE_POLE
GOCC_SPINDLE_POLE_CENTROSOME             SET      13    -0.090637   -0.0023531      0.17716      0.69554 GOCC_SPINDLE_POLE_CENTROSOME
GOCC_SPLICEOSOMAL_COMPLEX                SET     176    -0.038972    -0.003707     0.057826      0.74982 GOCC_SPLICEOSOMAL_COMPLEX
GOCC_SPLICEOSOMAL_SNRNP_COMP...          SET      62    -0.058071   -0.0032883     0.093402      0.73294 GOCC_SPLICEOSOMAL_SNRNP_COMPLEX
GOCC_SPLICEOSOMAL_TRI_SNRNP_...          SET      36     -0.11881     -0.00513      0.11942      0.84009 GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX
GOCC_STEREOCILIA_COUPLING_LI...          SET       6     0.091532    0.0016147      0.27473       0.3695 GOCC_STEREOCILIA_COUPLING_LINK
GOCC_STEREOCILIUM_BASE                   SET       5      0.18153    0.0029235      0.32671      0.28923 GOCC_STEREOCILIUM_BASE
GOCC_STEREOCILIUM_BUNDLE                 SET      61     0.089469    0.0050253     0.097771      0.18008 GOCC_STEREOCILIUM_BUNDLE
GOCC_STEREOCILIUM_MEMBRANE               SET       6      0.35776    0.0063113      0.28655      0.10593 GOCC_STEREOCILIUM_MEMBRANE
GOCC_STEREOCILIUM_TIP                    SET      20     0.055885    0.0017993      0.16614       0.3683 GOCC_STEREOCILIUM_TIP
GOCC_STRIATED_MUSCLE_THIN_FI...          SET      21     -0.15592   -0.0051438      0.15814      0.83791 GOCC_STRIATED_MUSCLE_THIN_FILAMENT
GOCC_SUMO_LIGASE_COMPLEX                 SET      13    -0.074058   -0.0019227      0.23414      0.62411 GOCC_SUMO_LIGASE_COMPLEX
GOCC_SUPER_ELONGATION_COMPLEX            SET       5      0.12704    0.0020458      0.37514      0.36744 GOCC_SUPER_ELONGATION_COMPLEX
GOCC_SUPRAMOLECULAR_COMPLEX              SET    1302    -0.015605   -0.0039164     0.023093      0.75039 GOCC_SUPRAMOLECULAR_COMPLEX
GOCC_SUPRAMOLECULAR_POLYMER              SET     963    -0.021814   -0.0047525      0.02707      0.78982 GOCC_SUPRAMOLECULAR_POLYMER
GOCC_SWI_SNF_COMPLEX                     SET      30     0.016396   0.00064638      0.13373      0.45121 GOCC_SWI_SNF_COMPLEX
GOCC_SWI_SNF_SUPERFAMILY_TYP...          SET      91     0.070137    0.0048079     0.083126      0.19941 GOCC_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX
GOCC_SWR1_COMPLEX                        SET      13      0.13972    0.0036275      0.20288      0.24551 GOCC_SWR1_COMPLEX
GOCC_SYMMETRIC_SYNAPSE                   SET       8     -0.11485   -0.0023394      0.27684      0.66087 GOCC_SYMMETRIC_SYNAPSE
GOCC_SYNAPSE                             SET    1371   -0.0094271   -0.0024232     0.022416      0.66295 GOCC_SYNAPSE
GOCC_SYNAPSE_ASSOCIATED_EXTR...          SET       6     -0.31988    -0.005643      0.27814      0.87493 GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
GOCC_SYNAPTIC_CLEFT                      SET      21     0.056683      0.00187      0.16729      0.36737 GOCC_SYNAPTIC_CLEFT
GOCC_SYNAPTIC_MEMBRANE                   SET     361      0.03666      0.00497     0.043989      0.20231 GOCC_SYNAPTIC_MEMBRANE
GOCC_SYNAPTIC_VESICLE_MEMBRA...          SET     118    -0.078201   -0.0061001     0.071416      0.86324 GOCC_SYNAPTIC_VESICLE_MEMBRANE
GOCC_SYNAPTONEMAL_STRUCTURE              SET      33    -0.011282  -0.00046644      0.12908      0.53483 GOCC_SYNAPTONEMAL_STRUCTURE
GOCC_TELOMERASE_HOLOENZYME_C...          SET      19     0.034596    0.0010857      0.18556      0.42605 GOCC_TELOMERASE_HOLOENZYME_COMPLEX
GOCC_TERMINAL_BOUTON                     SET      44      0.10167    0.0048521      0.11142      0.18077 GOCC_TERMINAL_BOUTON
GOCC_TERTIARY_GRANULE                    SET     151      0.09542    0.0084127      0.06237     0.063028 GOCC_TERTIARY_GRANULE
GOCC_TERTIARY_GRANULE_LUMEN              SET      52      0.13213    0.0068539      0.10228     0.098218 GOCC_TERTIARY_GRANULE_LUMEN
GOCC_TERTIARY_GRANULE_MEMBRA...          SET      64     0.014634   0.00084187     0.096619      0.43981 GOCC_TERTIARY_GRANULE_MEMBRANE
GOCC_TETRASPANIN_ENRICHED_MI...          SET      10      0.03442    0.0007838      0.23991      0.44296 GOCC_TETRASPANIN_ENRICHED_MICRODOMAIN
GOCC_THO_COMPLEX                         SET       5     -0.15507   -0.0024973      0.34884      0.67167 GOCC_THO_COMPLEX
GOCC_TIGHT_JUNCTION                      SET     121    -0.024519   -0.0019366     0.072643      0.63214 GOCC_TIGHT_JUNCTION
GOCC_TIM22_MITOCHONDRIAL_IMP...          SET       7   -0.0051018   -9.721e-05      0.27077      0.50752 GOCC_TIM22_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_INSERTION_COMPLEX
GOCC_TIM23_MITOCHONDRIAL_IMP...          SET      13      0.33214    0.0086231       0.2082     0.055335 GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX
GOCC_TORC1_COMPLEX                       SET       5      0.51515    0.0082962      0.30725     0.046815 GOCC_TORC1_COMPLEX
GOCC_TOR_COMPLEX                         SET      10      0.11675    0.0026587      0.23386      0.30881 GOCC_TOR_COMPLEX
GOCC_TRAMP_COMPLEX                       SET       5      0.14289    0.0023011      0.46286      0.37877 GOCC_TRAMP_COMPLEX
GOCC_TRANSCRIPTION_ELONGATIO...          SET      46     0.017081   0.00083347      0.10357       0.4345 GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX
GOCC_TRANSCRIPTION_EXPORT_CO...1         SET       9      -0.2864   -0.0061874      0.24518      0.87861 GOCC_TRANSCRIPTION_EXPORT_COMPLEX
GOCC_TRANSCRIPTION_EXPORT_CO...2         SET       4      0.16964    0.0024435      0.38198      0.32849 GOCC_TRANSCRIPTION_EXPORT_COMPLEX_2
GOCC_TRANSCRIPTION_FACTOR_AP...          SET       5     -0.16251    -0.002617      0.40225      0.65689 GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX
GOCC_TRANSCRIPTION_FACTOR_TF...1         SET       5     -0.87743     -0.01413      0.43245      0.97876 GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX
GOCC_TRANSCRIPTION_FACTOR_TF...2         SET      30    -0.081633   -0.0032181      0.14713      0.71049 GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX
GOCC_TRANSCRIPTION_FACTOR_TF...3         SET      12     -0.12407   -0.0030947       0.2056      0.72689 GOCC_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX
GOCC_TRANSCRIPTION_FACTOR_TF...4         SET       6     -0.74311    -0.013109      0.37294      0.97684 GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX
GOCC_TRANSCRIPTION_FACTOR_TF...5         SET      16     0.024279   0.00069924      0.23192      0.45831 GOCC_TRANSCRIPTION_FACTOR_TFTC_COMPLEX
GOCC_TRANSCRIPTION_PREINITIA...          SET      11     0.038829   0.00092735      0.24807      0.43781 GOCC_TRANSCRIPTION_PREINITIATION_COMPLEX
GOCC_TRANSCRIPTION_REGULATOR...          SET     479    -0.011977   -0.0018645     0.037769      0.62442 GOCC_TRANSCRIPTION_REGULATOR_COMPLEX
GOCC_TRANSCRIPTION_REPRESSOR...          SET      74     0.021503    0.0013298     0.088579       0.4041 GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX
GOCC_TRANSFERASE_COMPLEX                 SET     773    -0.032539   -0.0063845     0.028261      0.87521 GOCC_TRANSFERASE_COMPLEX
GOCC_TRANSFERASE_COMPLEX_TRA...          SET     268    -0.069089     -0.00809     0.048591      0.92246 GOCC_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS
GOCC_TRANSLATION_PREINITIATI...          SET      18     -0.21918   -0.0066949      0.15651       0.9193 GOCC_TRANSLATION_PREINITIATION_COMPLEX
GOCC_TRANSLOCON_COMPLEX                  SET       5      0.30228    0.0048681       0.5066      0.27536 GOCC_TRANSLOCON_COMPLEX
GOCC_TRANSPORTER_COMPLEX                 SET     384     0.010587    0.0014794      0.04148      0.39927 GOCC_TRANSPORTER_COMPLEX
GOCC_TRANSPORT_VESICLE                   SET     396    -0.054139   -0.0076801     0.040098      0.91151 GOCC_TRANSPORT_VESICLE
GOCC_TRANSPORT_VESICLE_MEMBR...          SET     216   -0.0026076   -0.0002745     0.055801      0.51864 GOCC_TRANSPORT_VESICLE_MEMBRANE
GOCC_TRANS_GOLGI_NETWORK                 SET     243     0.074633     0.008327     0.049948     0.067571 GOCC_TRANS_GOLGI_NETWORK
GOCC_TRANS_GOLGI_NETWORK_MEM...          SET      96     0.079637    0.0056064     0.080981      0.16271 GOCC_TRANS_GOLGI_NETWORK_MEMBRANE
GOCC_TRANS_GOLGI_NETWORK_TRA...1         SET      36    -0.018723  -0.00080841      0.13529      0.55503 GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE
GOCC_TRANS_GOLGI_NETWORK_TRA...2         SET      19     0.056042    0.0017587      0.19692      0.38798 GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE
GOCC_TRAPPIII_PROTEIN_COMPLEX            SET      11     -0.19318   -0.0046137      0.20724      0.82436 GOCC_TRAPPIII_PROTEIN_COMPLEX
GOCC_TRAPPII_PROTEIN_COMPLEX             SET      11     -0.11631   -0.0027778      0.20152      0.71807 GOCC_TRAPPII_PROTEIN_COMPLEX
GOCC_TRAPP_COMPLEX                       SET      16      -0.1367    -0.003937       0.1795      0.77684 GOCC_TRAPP_COMPLEX
GOCC_TRICARBOXYLIC_ACID_CYCL...          SET      15     -0.13395   -0.0037352      0.21951      0.72913 GOCC_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX
GOCC_TRIGLYCERIDE_RICH_PLASM...          SET      19      0.43677     0.013706      0.18988     0.010724 GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE
GOCC_TRNA_METHYLTRANSFERASE_...          SET       6      0.20244    0.0035712      0.31391      0.25951 GOCC_TRNA_METHYLTRANSFERASE_COMPLEX
GOCC_TRNA_SPLICING_LIGASE_CO...          SET       8       0.2424    0.0049374      0.25276      0.16879 GOCC_TRNA_SPLICING_LIGASE_COMPLEX
GOCC_TROPONIN_COMPLEX                    SET       8      -0.1242   -0.0025298      0.24505      0.69386 GOCC_TROPONIN_COMPLEX
GOCC_TUBULAR_ENDOSOME                    SET       5     -0.54844   -0.0088323      0.33439       0.9495 GOCC_TUBULAR_ENDOSOME
GOCC_T_CELL_RECEPTOR_COMPLEX             SET      12     -0.27456   -0.0068486      0.25737      0.85696 GOCC_T_CELL_RECEPTOR_COMPLEX
GOCC_T_TUBULE                            SET      52     -0.17066   -0.0088526      0.10864      0.94188 GOCC_T_TUBULE
GOCC_U12_TYPE_SPLICEOSOMAL_C...          SET      25     -0.19457    -0.007003       0.1622      0.88484 GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX
GOCC_U1_SNRNP                            SET      18     -0.19933   -0.0060887      0.17085      0.87833 GOCC_U1_SNRNP
GOCC_U2AF_COMPLEX                        SET       4     0.059273   0.00085379      0.43042      0.44524 GOCC_U2AF_COMPLEX
GOCC_U2_SNRNP                            SET      23     0.064351    0.0022216      0.16045      0.34419 GOCC_U2_SNRNP
GOCC_U2_TYPE_CATALYTIC_STEP_...          SET      30    0.0013208   5.2067e-05      0.13259      0.49603 GOCC_U2_TYPE_CATALYTIC_STEP_2_SPLICEOSOME
GOCC_U2_TYPE_SPLICEOSOMAL_CO...          SET      86     0.017649    0.0011763     0.080967      0.41372 GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX
GOCC_U4_SNRNP                            SET      10     -0.27924   -0.0063589      0.19882       0.9199 GOCC_U4_SNRNP
GOCC_U5_SNRNP                            SET      19     -0.12619   -0.0039599       0.1638      0.77946 GOCC_U5_SNRNP
GOCC_U6_SNRNP                            SET       8     -0.27436   -0.0055884      0.25455      0.85943 GOCC_U6_SNRNP
GOCC_U7_SNRNP                            SET       7     -0.45069   -0.0085873      0.28016      0.94615 GOCC_U7_SNRNP
GOCC_UBIQUINONE_BIOSYNTHESIS...          SET       6     0.099743    0.0017596      0.35654      0.38984 GOCC_UBIQUINONE_BIOSYNTHESIS_COMPLEX
GOCC_UBIQUITIN_CONJUGATING_E...          SET       7      0.19164    0.0036514      0.37525      0.30479 GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX
GOCC_UBIQUITIN_LIGASE_COMPLEX            SET     288     0.023617    0.0028653     0.045896      0.30343 GOCC_UBIQUITIN_LIGASE_COMPLEX
GOCC_UNCONVENTIONAL_MYOSIN_C...          SET       8     -0.25498   -0.0051937      0.26043      0.83622 GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX
GOCC_UNIPLEX_COMPLEX                     SET       6      0.33295    0.0058735       0.3584      0.17645 GOCC_UNIPLEX_COMPLEX
GOCC_VACUOLAR_LUMEN                      SET     169     0.018142    0.0016913     0.060062      0.38131 GOCC_VACUOLAR_LUMEN
GOCC_VACUOLAR_MEMBRANE                   SET     437     0.013847    0.0020613     0.037535       0.3561 GOCC_VACUOLAR_MEMBRANE
GOCC_VACUOLAR_PROTON_TRANSPO...          SET       9     -0.27907   -0.0060289        0.304      0.82068 GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN
GOCC_VACUOLE                             SET     795   -0.0063187   -0.0012566     0.028156      0.58878 GOCC_VACUOLE
GOCC_VARICOSITY                          SET       7    -0.020862  -0.00039751      0.35784      0.52325 GOCC_VARICOSITY
GOCC_VCP_NPL4_UFD1_AAA_ATPAS...          SET       8     0.027992   0.00057018      0.27848      0.45997 GOCC_VCP_NPL4_UFD1_AAA_ATPASE_COMPLEX
GOCC_VESICLE_COAT                        SET      57      0.23384     0.012697      0.11105     0.017622 GOCC_VESICLE_COAT
GOCC_VESICLE_LUMEN                       SET     311     0.010978    0.0013832      0.04403      0.40155 GOCC_VESICLE_LUMEN
GOCC_VESICLE_MEMBRANE                    SET    1148     0.031424    0.0074373     0.024158     0.096675 GOCC_VESICLE_MEMBRANE
GOCC_VESICLE_TETHERING_COMPL...          SET      56     0.047007    0.0025301     0.097255      0.31443 GOCC_VESICLE_TETHERING_COMPLEX
GOCC_VOLTAGE_GATED_CALCIUM_C...          SET      53     -0.13282   -0.0069551      0.10753       0.8916 GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX
GOCC_VOLTAGE_GATED_SODIUM_CH...          SET       8     -0.21433   -0.0043656      0.32834      0.74304 GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX
GOCC_WASH_COMPLEX                        SET       9      0.11771     0.002543      0.28555      0.34009 GOCC_WASH_COMPLEX
GOCC_WEIBEL_PALADE_BODY                  SET       5      0.12309    0.0019824      0.32701       0.3533 GOCC_WEIBEL_PALADE_BODY
GOCC_WNT_SIGNALOSOME                     SET      13     0.096859    0.0025146      0.20914      0.32164 GOCC_WNT_SIGNALOSOME
GOCC_XY_BODY                             SET      14      0.11305    0.0030458      0.27183      0.33875 GOCC_XY_BODY
GOCC_X_CHROMOSOME                        SET       9     -0.24625   -0.0053199      0.28704      0.80451 GOCC_X_CHROMOSOME
GOCC_ZONA_PELLUCIDA_RECEPTOR...          SET       8    -0.093243   -0.0018993       0.2867      0.62749 GOCC_ZONA_PELLUCIDA_RECEPTOR_COMPLEX
GOCC_ZONULA_ADHERENS                     SET       8      0.21746    0.0044295      0.27099      0.21114 GOCC_ZONULA_ADHERENS
GOCC_ZYMOGEN_GRANULE                     SET      16      0.39163     0.011279      0.23724     0.049401 GOCC_ZYMOGEN_GRANULE
GOCC_ZYMOGEN_GRANULE_MEMBRANE            SET      13      0.17881    0.0046422      0.27178       0.2553 GOCC_ZYMOGEN_GRANULE_MEMBRANE
GOERING_BLOOD_HDL_CHOLESTERO...1         SET      11    -0.076019   -0.0018156      0.22228      0.63382 GOERING_BLOOD_HDL_CHOLESTEROL_QTL_CIS
GOERING_BLOOD_HDL_CHOLESTERO...2         SET      13      0.14621    0.0037959       0.2333      0.26543 GOERING_BLOOD_HDL_CHOLESTEROL_QTL_TRANS
GOLDRATH_ANTIGEN_RESPONSE                SET     333     0.029188    0.0038032     0.043541      0.25132 GOLDRATH_ANTIGEN_RESPONSE
GOLDRATH_HOMEOSTATIC_PROLIFE...          SET     142    -0.027504    -0.002352     0.067117      0.65902 GOLDRATH_HOMEOSTATIC_PROLIFERATION
GOLDRATH_IMMUNE_MEMORY                   SET      64     0.038994    0.0022433     0.097642      0.34482 GOLDRATH_IMMUNE_MEMORY
GOLUB_ALL_VS_AML_DN                      SET      22     -0.13902   -0.0046941      0.17585      0.78539 GOLUB_ALL_VS_AML_DN
GOLUB_ALL_VS_AML_UP                      SET      24      0.26531    0.0093564      0.17213     0.061623 GOLUB_ALL_VS_AML_UP
GOMF_11_CIS_RETINAL_BINDING              SET       8     -0.47045   -0.0095826      0.25751      0.96614 GOMF_11_CIS_RETINAL_BINDING
GOMF_14_3_3_PROTEIN_BINDING              SET      34     0.047906    0.0020103      0.13586      0.36219 GOMF_14_3_3_PROTEIN_BINDING
GOMF_17_BETA_HYDROXYSTEROID_...          SET      12      0.39062    0.0097436      0.22249     0.039585 GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY
GOMF_1_4_ALPHA_OLIGOGLUCAN_P...          SET       5     -0.65192    -0.010499      0.31449       0.9809 GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY
GOMF_1_ACYLGLYCEROPHOSPHOCHO...          SET       6      0.46621    0.0082243      0.36272     0.099352 GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY
GOMF_1_ALKYL_2_ACETYLGLYCERO...          SET       8     -0.36358   -0.0074058       0.2699      0.91102 GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY
GOMF_1_PHOSPHATIDYLINOSITOL_...1         SET      10     -0.32983   -0.0075108      0.23562      0.91921 GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY
GOMF_1_PHOSPHATIDYLINOSITOL_...2         SET       7     -0.45889   -0.0087436      0.27687      0.95127 GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY
GOMF_1_PHOSPHATIDYLINOSITOL_...3         SET       6     -0.90333    -0.015936      0.35707      0.99429 GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY
GOMF_1_PHOSPHATIDYLINOSITOL_...4         SET      15   -0.0017716  -4.9402e-05      0.19073      0.50371 GOMF_1_PHOSPHATIDYLINOSITOL_BINDING
GOMF_2_ACYLGLYCEROL_3_PHOSPH...          SET       8    -0.053754   -0.0010949      0.32065      0.56657 GOMF_2_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY
GOMF_2_ACYLGLYCEROL_O_ACYLTR...          SET       6     0.031444    0.0005547      0.37913      0.46695 GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY
GOMF_2_IRON_2_SULFUR_CLUSTER...          SET      23       0.2085    0.0071981      0.16673      0.10557 GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING
GOMF_2_OXOGLUTARATE_DEPENDEN...          SET      53      0.17532    0.0091809      0.10062     0.040722 GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY
GOMF_3_5_CYCLIC_AMP_PHOSPHOD...          SET      17     -0.16198   -0.0048085      0.19757      0.79385 GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY
GOMF_3_5_CYCLIC_GMP_PHOSPHOD...          SET      16    0.0023712   6.8292e-05      0.20645      0.49542 GOMF_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY
GOMF_3_5_DNA_EXONUCLEASE_ACT...          SET      11     -0.13454   -0.0032131      0.20696      0.74217 GOMF_3_5_DNA_EXONUCLEASE_ACTIVITY
GOMF_3_5_DNA_HELICASE_ACTIVI...          SET      15    -0.069757   -0.0019453      0.19997      0.63639 GOMF_3_5_DNA_HELICASE_ACTIVITY
GOMF_3_5_EXONUCLEASE_ACTIVITY            SET      53    -0.063199   -0.0033095     0.099326       0.7377 GOMF_3_5_EXONUCLEASE_ACTIVITY
GOMF_3_BETA_HYDROXY_DELTA5_S...          SET       5     -0.33698   -0.0054269      0.39586      0.80268 GOMF_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY
